basDt,idxNm,clpr,change_rate
20250220,코스피,2654.06,-0.006535605198538685
20250221,코스피,2654.58,0.0001959262413058216
20250224,코스피,2645.27,-0.003507146139879014
20250225,코스피,2630.29,-0.005662937998767603
20250226,코스피,2641.09,0.0041060111242487984
20250227,코스피,2621.75,-0.00732273417414786
20250228,코스피,2532.78,-0.03393534852674729
20250304,코스피,2528.92,-0.0015240170879429193
20250305,코스피,2558.13,0.011550385144646791
20250306,코스피,2576.16,0.007048117179345725
20250307,코스피,2563.48,-0.0049220545307744334
20250310,코스피,2570.39,0.0026955544806277487
20250311,코스피,2537.6,-0.012756819004119957
20250312,코스피,2574.82,0.014667402269861407
20250313,코스피,2573.64,-0.00045828446260332
20250314,코스피,2566.36,-0.0028286784476460047
20250317,코스피,2610.69,0.017273492417275715
20250318,코스피,2612.34,0.0006320168231388479
20250319,코스피,2628.62,0.006231960617683718
20250320,코스피,2637.1,0.0032260273451469867
20250321,코스피,2643.13,0.0022866027075196804
20250324,코스피,2632.07,-0.004184432850446229
20250325,코스피,2615.81,-0.0061776472510229885
20250326,코스피,2643.94,0.010753839154984624
20250327,코스피,2607.15,-0.013914839217228803
20250328,코스피,2557.98,-0.0188596743570566
20250331,코스피,2481.12,-0.030047146576595685
20250401,코스피,2521.39,0.016230573289482075
20250402,코스피,2505.86,-0.006159301020468799
20250403,코스피,2486.7,-0.007646077594119505
20250404,코스피,2465.42,-0.008557526038524887
20250407,코스피,2328.2,-0.055657859512780905
20250408,코스피,2334.23,0.0025899836783782604
20250409,코스피,2293.7,-0.017363327521281224
20250410,코스피,2445.06,0.06598944936129403
20250411,코스피,2432.72,-0.00504691091425169
20250414,코스피,2455.89,0.009524318458351111
20250415,코스피,2477.41,0.008762607445773174
20250416,코스피,2447.43,-0.012101347778526783
20250417,코스피,2470.41,0.009389441168899726
20250418,코스피,2483.42,0.0052663323092119185
20250421,코스피,2488.42,0.0020133525541390362
20250422,코스피,2486.64,-0.0007153133313508864
20250423,코스피,2525.56,0.015651642376862007
20250424,코스피,2522.33,-0.0012789242781798826
20250425,코스피,2546.3,0.009503118148695977
20250428,코스피,2548.86,0.0010053803558103258
20250429,코스피,2565.42,0.006497022198159064
20250430,코스피,2556.61,-0.0034341355411589003
20250502,코스피,2559.79,0.0012438346091112606
20250507,코스피,2573.8,0.005473105215662244
20250508,코스피,2579.48,0.002206853679384446
20250509,코스피,2577.27,-0.0008567618279653466
20250512,코스피,2607.33,0.011663504405824643
20250513,코스피,2608.42,0.0004180521836514295
20250514,코스피,2640.57,0.01232546905789711
20250515,코스피,2621.36,-0.0072749444248779715
20250516,코스피,2626.87,0.002101962340159247
20250519,코스피,2603.42,-0.008926973927145143
20250520,코스피,2601.8,-0.000622258413932375
20250521,코스피,2625.58,0.009139826274117802
20250522,코스피,2593.67,-0.012153505130295006
20250523,코스피,2592.09,-0.0006091754155308493
20250526,코스피,2644.4,0.020180626444297856
20250527,코스피,2637.22,-0.0027151716835578377
20250528,코스피,2670.15,0.012486633652103452
20250529,코스피,2720.64,0.018909050053367737
20250530,코스피,2697.67,-0.008442866384380077
20250602,코스피,2698.97,0.00048189734103853965
20250604,코스피,2770.84,0.026628676865619205
20250605,코스피,2812.05,0.014872746170836226
20250609,코스피,2855.77,0.015547376469123853
20250610,코스피,2871.85,0.005630705554018789
20250611,코스피,2907.04,0.012253425492278591
20250612,코스피,2920.03,0.004468462766250347
20250613,코스피,2894.62,-0.00870196539076662
20250616,코스피,2946.66,0.017978180210183048
